,ano,temperatura_media_anual(°C),country_code
214,1962,24.91,GAB
215,1962,13.66,GEO
216,1962,7.05,DEU
217,1962,26.49,GHA
218,1962,17.47,GRC
219,1962,26.82,GRD
220,1962,17.91,GTM
221,1962,24.8,GIN
222,1962,26.38,GNB
223,1962,27.05,GUY
224,1962,27.4,HTI
225,1962,24.69,HND
226,1962,9.45,HUN
227,1962,4.03,ISL
228,1962,23.82,IND
229,1962,26.52,IDN
230,1962,16.3,IRN
231,1962,23.52,IRQ
232,1962,8.68,IRL
233,1962,20.92,ISR
234,1962,12.37,ITA
235,1962,25.52,JAM
236,1962,14.37,JPN
237,1962,20.76,JOR
238,1962,7.57,KAZ
239,1962,22.19,KEN
240,1962,7.85,PRK
241,1962,13.01,KOR
242,1962,25.24,KWT
243,1962,4.36,KGZ
244,1962,24.83,LAO
245,1962,5.08,LVA
246,1962,19.18,LBN
247,1962,25.67,LBR
248,1962,20.29,LBY
249,1962,5.68,LTU
250,1962,7.32,LUX
251,1962,21.61,MWI
252,1962,26.81,MYS
253,1962,18.44,MLT
254,1962,21.63,MEX
255,1962,10.42,MDA
256,1962,-0.47,MNG
257,1962,16.22,MNE
258,1962,18.4,MAR
259,1962,23.5,MOZ
260,1962,17.88,NAM
261,1962,17.66,NPL
262,1962,7.92,NLD
263,1962,12.95,NZL
264,1962,26.29,NIC
265,1962,27.98,NER
266,1962,26.75,NGA
267,1962,3.0,NOR
268,1962,24.96,OMN
269,1962,22.28,PAK
270,1962,25.23,PLW
271,1962,26.21,PAN
272,1962,24.29,PNG
273,1962,22.48,PRY
274,1962,18.96,PER
275,1962,26.37,PHL
276,1962,6.84,POL
277,1962,15.69,PRT
278,1962,27.65,QAT
279,1962,9.13,ROU
280,1962,-0.96,RUS
281,1962,25.3,SAU
282,1962,27.13,SEN
283,1962,10.5,SRB
284,1962,26.81,SYC
285,1962,26.33,SLE
286,1962,26.89,SGP
287,1962,6.87,SVK
288,1962,6.54,SVN
289,1962,26.43,SLB
290,1962,28.03,SOM
291,1962,17.76,ZAF
292,1962,14.5,ESP
293,1962,25.09,LKA
294,1962,28.26,SDN
295,1962,26.51,SUR
296,1962,3.35,SWE
297,1962,5.91,CHE
298,1962,20.01,SYR
299,1962,23.13,TWN
300,1962,8.29,TJK
301,1962,22.34,TZA
302,1962,26.84,THA
303,1962,26.63,TLS
304,1962,26.97,TGO
305,1962,25.49,TON
306,1962,19.31,TUN
307,1962,14.11,TUR
308,1962,15.85,TKM
309,1962,28.01,TUV
310,1962,21.45,UGA
311,1962,9.04,UKR
312,1962,8.12,GBR
313,1962,10.96,USA
314,1962,16.77,URY
315,1962,12.91,UZB
316,1962,25.36,VUT
317,1962,25.37,VEN
318,1962,25.54,VNM
319,1962,28.74,YEM
320,1962,20.42,ZMB
321,1962,19.54,ZWE
322,1963,18.08,AFG
323,1963,15.34,ALB
324,1963,19.54,DZA
325,1963,21.06,AGO
326,1963,-14.25,ATA
327,1963,16.6,ARG
328,1963,5.33,ARM
329,1963,17.92,AUS
330,1963,6.2,AUT
331,1963,10.83,AZE
332,1963,26.09,BHR
333,1963,25.54,BGD
334,1963,26.0,BRB
335,1963,5.85,BLR
336,1963,7.88,BEL
337,1963,24.86,BLZ
338,1963,26.95,BEN
339,1963,19.39,BOL
340,1963,8.26,BIH
341,1963,21.0,BWA
342,1963,23.22,BRA
343,1963,9.25,BGR
344,1963,28.06,BFA
345,1963,26.07,MMR
346,1963,26.67,KHM
347,1963,24.19,CMR
348,1963,3.34,CAN
349,1963,23.98,CPV
350,1963,25.03,CAF
351,1963,28.72,TCD
352,1963,12.58,CHL
353,1963,11.33,CHN
354,1963,22.75,COL
355,1963,25.86,COM
356,1963,24.46,COC
357,1963,23.77,COD
358,1963,19.43,CRI
359,1963,25.46,CIV
360,1963,11.91,HRV
361,1963,24.53,CUB
362,1963,19.0,CYP
363,1963,6.24,CZE
364,1963,6.78,DNK
365,1963,25.4,DOM
366,1963,19.38,ECU
367,1963,22.51,EGY
368,1963,25.36,SLV
369,1963,24.63,ERI
370,1963,4.35,EST
371,1963,19.02,ETH
372,1963,25.61,FJI
373,1963,1.97,FIN
374,1963,9.8,FRA
375,1963,25.29,GAB
376,1963,11.81,GEO
377,1963,6.97,DEU
378,1963,26.79,GHA
379,1963,17.18,GRC
380,1963,25.39,GRD
381,1963,18.25,GTM
382,1963,25.18,GIN
383,1963,26.63,GNB
384,1963,26.96,GUY
385,1963,27.59,HTI
386,1963,25.13,HND
387,1963,9.38,HUN
388,1963,3.81,ISL
389,1963,23.75,IND
390,1963,26.46,IDN
391,1963,17.66,IRN
392,1963,22.51,IRQ
393,1963,8.54,IRL
394,1963,20.45,ISR
395,1963,12.09,ITA
396,1963,25.22,JAM
397,1963,14.16,JPN
398,1963,19.77,JOR
399,1963,5.65,KAZ
400,1963,22.95,KEN
401,1963,7.67,PRK
402,1963,12.43,KOR
403,1963,25.38,KWT
404,1963,4.75,KGZ
405,1963,26.16,LAO
406,1963,5.79,LVA
407,1963,19.04,LBN
408,1963,25.88,LBR
409,1963,20.97,LBY
410,1963,5.54,LTU
411,1963,6.99,LUX
412,1963,20.55,MWI
413,1963,26.79,MYS
414,1963,18.28,MLT
415,1963,21.59,MEX
416,1963,9.45,MDA
417,1963,0.38,MNG
418,1963,16.07,MNE
419,1963,17.32,MAR
420,1963,22.89,MOZ
421,1963,18.29,NAM
422,1963,17.77,NPL
423,1963,7.39,NLD
424,1963,11.91,NZL
425,1963,26.61,NIC
426,1963,28.62,NER
427,1963,27.04,NGA
428,1963,3.32,NOR
429,1963,24.94,OMN
430,1963,22.4,PAK
431,1963,25.34,PLW
432,1963,25.72,PAN
433,1963,24.15,PNG
434,1963,23.68,PRY
435,1963,18.47,PER
436,1963,26.25,PHL
437,1963,6.33,POL
438,1963,15.54,PRT
439,1963,27.22,QAT
440,1963,8.87,ROU
441,1963,-1.53,RUS
442,1963,18.8,RWA
443,1963,25.46,SAU
444,1963,27.45,SEN
445,1963,10.57,SRB
446,1963,26.66,SYC
447,1963,26.56,SLE
448,1963,27.1,SGP
449,1963,6.95,SVK
450,1963,7.54,SVN
451,1963,26.28,SLB
452,1963,27.74,SOM
453,1963,17.64,ZAF
454,1963,13.56,ESP
455,1963,25.1,LKA
456,1963,28.33,SDN
457,1963,26.23,SUR
458,1963,3.54,SWE
459,1963,5.75,CHE
460,1963,19.9,SYR
461,1963,22.46,TWN
462,1963,8.94,TJK
463,1963,24.06,TZA
464,1963,26.74,THA
465,1963,26.05,TLS
466,1963,26.86,TGO
467,1963,25.43,TON
468,1963,19.67,TUN
469,1963,13.57,TUR
470,1963,17.31,TKM
471,1963,28.0,TUV
472,1963,21.42,UGA
473,1963,8.23,UKR
474,1963,28.92,ARE
475,1963,8.07,GBR
476,1963,11.03,USA
477,1963,17.41,URY
478,1963,13.45,UZB
479,1963,25.21,VUT
480,1963,25.33,VEN
481,1963,25.52,VNM
482,1963,29.07,YEM
483,1963,20.26,ZMB
484,1963,18.87,ZWE
485,1964,16.06,AFG
486,1964,14.65,ALB
487,1964,19.77,DZA
488,1964,21.33,AGO
489,1964,-14.91,ATA
490,1964,16.0,ARG
491,1964,3.88,ARM
492,1964,17.69,AUS
493,1964,6.64,AUT
494,1964,11.94,AZE
495,1964,25.04,BHR
496,1964,25.36,BGD
497,1964,25.6,BRB
498,1964,5.32,BLR
499,1964,9.27,BEL
500,1964,25.65,BLZ
501,1964,26.52,BEN
502,1964,19.12,BOL
503,1964,7.43,BIH
504,1964,21.01,BWA
505,1964,22.55,BRA
506,1964,9.18,BGR
507,1964,27.72,BFA
508,1964,26.19,MMR
509,1964,26.95,KHM
510,1964,24.19,CMR
511,1964,2.95,CAN
512,1964,23.53,CPV
513,1964,24.98,CAF
514,1964,28.36,TCD
515,1964,12.4,CHL
516,1964,11.0,CHN
517,1964,22.88,COL
518,1964,25.1,COM
519,1964,24.11,COC
520,1964,23.85,COD
521,1964,19.45,CRI
522,1964,25.15,CIV
523,1964,11.9,HRV
524,1964,24.36,CUB
525,1964,22.58,CYP
526,1964,6.54,CZE
527,1964,7.48,DNK
528,1964,25.14,DOM
529,1964,19.14,ECU
530,1964,21.77,EGY
531,1964,25.6,SLV
532,1964,23.51,ERI
533,1964,5.42,EST
534,1964,18.85,ETH
535,1964,25.81,FJI
536,1964,2.81,FIN
537,1964,10.82,FRA
538,1964,24.82,GAB
539,1964,11.76,GEO
540,1964,8.02,DEU
541,1964,26.94,GHA
542,1964,16.34,GRC
543,1964,,GTM
544,1964,24.81,GIN
545,1964,26.4,GNB
546,1964,27.12,GUY
547,1964,27.53,HTI
548,1964,25.7,HND
549,1964,9.54,HUN
550,1964,5.02,ISL
551,1964,23.36,IND
552,1964,26.55,IDN
553,1964,16.63,IRN
554,1964,22.47,IRQ
555,1964,9.52,IRL
556,1964,18.81,ISR
557,1964,12.48,ITA
558,1964,25.48,JAM
559,1964,14.07,JPN
560,1964,18.71,JOR
561,1964,4.69,KAZ
562,1964,21.43,KEN
563,1964,8.02,PRK
564,1964,13.55,KOR
565,1964,24.41,KWT
566,1964,3.47,KGZ
567,1964,26.16,LAO
568,1964,5.04,LVA
569,1964,18.32,LBN
570,1964,25.61,LBR
571,1964,20.4,LBY
572,1964,6.01,LTU
573,1964,8.25,LUX
574,1964,20.75,MWI
575,1964,26.86,MYS
576,1964,18.1,MLT
577,1964,21.17,MEX
578,1964,9.8,MDA
579,1964,-0.44,MNG
580,1964,15.75,MNE
581,1964,17.93,MAR
582,1964,23.35,MOZ
583,1964,17.77,NAM
584,1964,18.03,NPL
585,1964,8.9,NLD
586,1964,12.04,NZL
587,1964,26.43,NIC
588,1964,28.01,NER
589,1964,26.34,NGA
590,1964,3.91,NOR
591,1964,25.49,OMN
592,1964,22.32,PAK
593,1964,25.25,PLW
594,1964,25.67,PAN
595,1964,24.24,PNG
596,1964,22.59,PRY
597,1964,19.5,PER
598,1964,26.55,PHL
599,1964,7.1,POL
600,1964,15.32,PRT
601,1964,26.71,QAT
602,1964,8.36,ROU
603,1964,-1.79,RUS
604,1964,19.3,RWA
605,1964,25.8,SAU
606,1964,27.27,SEN
607,1964,10.31,SRB
608,1964,26.56,SYC
609,1964,26.22,SLE
610,1964,26.9,SGP
611,1964,7.09,SVK
612,1964,7.48,SVN
613,1964,26.46,SLB
614,1964,28.26,SOM
615,1964,17.39,ZAF
616,1964,14.67,ESP
617,1964,25.19,LKA
618,1964,27.32,SDN
619,1964,26.31,SUR
620,1964,4.46,SWE
621,1964,6.94,CHE
622,1964,18.93,SYR
623,1964,25.26,TWN
624,1964,7.11,TJK
625,1964,22.21,TZA
626,1964,26.93,THA
627,1964,26.66,TLS
628,1964,26.89,TGO
629,1964,25.89,TON
630,1964,18.76,TUN
631,1964,12.31,TUR
632,1964,15.27,TKM
633,1964,27.88,TUV
634,1964,21.39,UGA
635,1964,8.42,UKR
636,1964,28.07,ARE
637,1964,8.78,GBR
638,1964,10.89,USA
639,1964,16.56,URY
640,1964,11.53,UZB
641,1964,25.63,VUT
642,1964,25.6,VEN
643,1964,25.75,VNM
644,1964,28.74,YEM
645,1964,20.36,ZMB
646,1964,19.2,ZWE
647,1965,17.81,AFG
648,1965,14.47,ALB
649,1965,18.9,DZA
650,1965,21.33,AGO
651,1965,-14.55,ATA
652,1965,16.61,ARG
653,1965,4.37,ARM
654,1965,17.65,AUS
655,1965,5.98,AUT
656,1965,13.1,AZE
657,1965,26.04,BHR
658,1965,25.61,BGD
659,1965,25.64,BRB
660,1965,5.06,BLR
661,1965,7.92,BEL
662,1965,25.39,BLZ
663,1965,26.53,BEN
664,1965,23.36,BOL
665,1965,7.11,BIH
666,1965,21.32,BWA
667,1965,22.96,BRA
668,1965,8.78,BGR
669,1965,27.64,BFA
670,1965,26.07,MMR
