,Area,Item,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Algeria,All sectors without LULUCF,6670.7672,6527.037,5763.4036,6044.2912,7090.4122,7234.2398,8607.577,9136.832,9441.5042,9758.359,10187.7104,10611.374,10286.845,10479.0792,10933.695,10792.9366,11535.69,12185.0254,13352.272,14348.4746,14216.8298,14718.3826,15399.6268,15353.8566,15648.6512,15499.1786,15557.3294,15035.9888,15576.2518,309127.7514,313206.6135,307719.9842,331470.6312,337525.634,365676.3265,377340.3138,349801.9738,388037.4037,364838.7453,371832.415,342252.6655,346884.9927,364545.094,355065.13210000005,395296.0755,390613.9906,400695.6632,407986.2713,417357.2771,423561.1258,426998.6184,448710.3202,474818.1102,506117.8662,527356.7574,533407.9653,542560.4219,563549.0378,572519.2174,549379.0026,555741.6844
11,Algeria,LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336.4656,1336.4656,1336.4656,1336.4656,17006.4656,1336.4656,1352.0848,1298.6852,1307.326,1314.7364,-14327.4938,-4793.3008,-4748.903200000001,-4670.6904,-4776.4546,-4714.3612,-4697.942800000001,-4388.5184,-4563.115,-4748.358200000001,-4781.3824,-1030.7422000000001,-804.6988000000001,-1214.216,-1183.2658000000001,-1240.4314,473.7302,968.5094,394.24,458.9468,616.3926,875.4658
12,American Samoa,All sectors with LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-78.8,-78.535,-78.588,-78.535,-78.588,-78.588,-78.588,-78.376,-78.535,-78.588,-71.57759999999999,-71.63059999999999,-71.63059999999999,-71.6836,-71.63059999999999,-82.1368,-82.0838,-82.1368,-82.0838,-82.1368,-82.2958
13,American Samoa,All sectors without LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265,0.212,0.265,0.212,0.212,0.212,0.424,0.265,0.212,0.212,0.159,0.159,0.106,0.159,0.159,0.212,0.159,0.212,0.159,0.0
14,American Samoa,LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-101.8758,-78.8,-78.8,-78.8,-78.8,-78.8,-78.8,-78.8,-78.8,-78.8,-78.8,-71.7896,-71.7896,-71.7896,-71.7896,-71.7896,-82.2958,-82.2958,-82.2958,-82.2958,-82.2958,-82.2958
15,Americas,All sectors with LULUCF,1640901.3254,1680309.1378,1706472.771,1751082.7786,1796415.4504,1823406.7176,1865611.0376,1890738.8665999998,1901195.451,1934097.3406,1977195.5142,2021520.0136,2077746.3112,2143172.9242,2213699.3094,2258612.3144,2280117.6176,2250531.8764,2255844.5892,2329075.8392,2367887.7856,2359227.7188,2336025.0291999998,2380542.6426,2367672.5594,2359384.1762,2357457.2244,2374921.3496,2409417.6646,20613468.6274,20625570.951899998,20931237.1572,21299253.3033,21682753.678,21912570.2562,22317064.913,22852805.6575,23199791.925,23398551.769,23741510.3214,23902202.2296,24094967.3794,24449776.4611,24739791.286,24996708.1074,24941934.6296,25347158.527499996,25129728.9878,24096760.5178,24653861.7904,22412987.6934,22155334.4801,22434843.9762,22722500.044299997,22463657.5702,22509214.2918,22479743.9682,22778883.216,22551848.9526,20879702.7536,21803442.5026
16,Americas,All sectors without LULUCF,1640901.3254,1680309.1378,1706472.771,1751082.7786,1796415.4504,1823406.7176,1865611.0376,1890738.8665999998,1901195.451,1934097.3406,1977195.5142,2021520.0136,2077746.3112,2143172.9242,2213699.3094,2258612.3144,2280117.6176,2250531.8764,2255844.5892,2329075.8392,2367887.7856,2359227.7188,2336025.0291999998,2380542.6426,2367672.5594,2359384.1762,2357457.2244,2374921.3496,2409417.6646,18033092.942,18045195.266499996,18350861.4718,18717705.0197,19101521.805,19329124.9296,19720146.7408,20253276.2007,20528921.9018,20753065.2214,21163944.8922,20989228.4494,21149588.8078,21500788.457500003,21776531.9346,22032550.2048,22009081.6558,22366469.019500002,22204793.9164,21189813.1734,21658807.7284,21485618.898,21223651.093900003,21518181.607,21808593.3221,21521892.1692,21241751.0956,21197766.7592,21519650.465,21251564.6556,19565048.1488,20513030.0344
17,Americas,LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2580375.6854,2580375.6854,2580375.6854,2581548.2836,2581231.873,2583445.3266,2596918.1722,2599529.4568,2670870.0232,2645486.5476,2577565.4292,2912973.7802,2945378.5716000004,2948988.0036,2963259.3514,2964157.9026,2932852.9738,2980689.508,2924935.0714,2906947.3444,2995054.062,927368.7954,931683.3862000001,916662.3692000001,913906.7222,941765.401,1267463.1962,1281977.209,1259232.751,1300284.297,1314654.6048,1290412.4682
18,Andorra,All sectors with LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.3302,1015.4725000000001,1026.7518,1036.695,1033.7709,1078.5076,1142.4837,1168.3186,1186.2437,1208.0295999999998,1228.4348,1234.0374000000002,1254.9706999999999,1268.7517,1321.4931,1356.2278000000001,1295.1840000000002,1287.1372000000001,1285.8749,1244.6001999999999,1254.5842,1197.993,1181.2644,1141.4735,1105.4347,1106.3842,1112.869,1102.1496,1063.0098,1039.3005,898.3438,998.9744
19,Andorra,All sectors without LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.3302,1015.4725000000001,1026.7518,1036.695,1033.7709,1078.5076,1142.4837,1168.3186,1186.2437,1208.0295999999998,1228.4348,1234.0374000000002,1254.9706999999999,1268.7517,1321.4931,1356.2278000000001,1295.1840000000002,1287.1372000000001,1285.8749,1244.6001999999999,1254.5842,1197.993,1181.2644,1141.4735,1105.4347,1106.3842,1112.869,1102.1496,1063.0098,1039.3005,898.3438,998.9744
